algorithm,dataset,auc,f1,avg_runtime
sse,soc-sign-bitcoinalpha.csv,0.6944913632536422,0.7758458646616543,1.0547049339998011
sgcn2,soc-sign-bitcoinalpha.csv,0.7274292178024987,0.8743567753001716,34.49234830000023
sgcn1,soc-sign-bitcoinalpha.csv,0.7217828013505814,0.8282828282828283,65.86787113499986
sgcn1p,soc-sign-bitcoinalpha.csv,0.7069561741467438,0.8788265306122449,53.70460951299992

General hyperparameters:
	test split size: 0.2
	embedding size: 64
	undirected graph: True
	repeats: 1
	seed: 1337

sgcn2:
	in_features: 64
	out_features: 64
	num_layers: 2
	lamb: 5
	num_epochs: None
	num_batches: 10000
	batch_size: 1000
	xent_weights: [0.15, 0.8, 0.05]
	learning_rate: 0.01
	weight_decay: 0.01
	learn_decay: 0.75
	ablation_version: sgcn2
	activation_fn: <built-in method tanh of type object at 0x7f3469cacee0>
	val_interval: 5
	early_stopping_patience: 15
	loss_version: theirs
sgcn1:
	in_features: 64
	out_features: 64
	num_layers: 1
	lamb: 5
	num_epochs: None
	num_batches: 10000
	batch_size: 1000
	xent_weights: [0.15, 0.8, 0.05]
	learning_rate: 0.01
	weight_decay: 0.01
	learn_decay: 0.75
	ablation_version: sgcn1
	activation_fn: <built-in method tanh of type object at 0x7f3469cacee0>
	val_interval: 5
	early_stopping_patience: 15
	loss_version: theirs
sgcn1p:
	in_features: 64
	out_features: 64
	num_layers: 2
	lamb: 5
	num_epochs: None
	num_batches: 10000
	batch_size: 1000
	xent_weights: [0.15, 0.8, 0.05]
	learning_rate: 0.01
	weight_decay: 0.01
	learn_decay: 0.75
	ablation_version: sgcn1p
	activation_fn: <built-in method tanh of type object at 0x7f3469cacee0>
	val_interval: 5
	early_stopping_patience: 15
	loss_version: theirs
sse:
	embedding_size_true: 128
	embedding_size_used: 64
