algorithm,dataset,auc,f1,avg_runtime
sse,soc-sign-bitcoinalpha.csv,0.6944913632536421,0.7758458646616543,1.0106270319999264
sgcn2,soc-sign-bitcoinalpha.csv,0.6928864848314751,0.8538660026426705,57.10706512166629
sgcn1,soc-sign-bitcoinalpha.csv,0.7097565608371109,0.8442833664272932,24.2833857563334
sgcn1p,soc-sign-bitcoinalpha.csv,0.6942821422192739,0.8395447673087891,36.62968245633359

General hyperparameters:
	test split size: 0.2
	embedding size: 64
	undirected graph: True
	repeats: 3
	seed: 1337

sgcn2:
	in_features: 64
	out_features: 64
	num_layers: 2
	lamb: 5
	num_epochs: None
	num_batches: 10000
	batch_size: 1000
	xent_weights: [0.15, 0.8, 0.05]
	learning_rate: 0.5
	weight_decay: 0.01
	learn_decay: 0.75
	ablation_version: sgcn2
	activation_fn: <built-in method tanh of type object at 0x7ff81bcfaee0>
	val_interval: 5
	early_stopping_patience: 50
	loss_version: theirs
sgcn1:
	in_features: 64
	out_features: 64
	num_layers: 1
	lamb: 5
	num_epochs: None
	num_batches: 10000
	batch_size: 1000
	xent_weights: [0.15, 0.8, 0.05]
	learning_rate: 0.5
	weight_decay: 0.01
	learn_decay: 0.75
	ablation_version: sgcn1
	activation_fn: <built-in method tanh of type object at 0x7ff81bcfaee0>
	val_interval: 5
	early_stopping_patience: 50
	loss_version: theirs
sgcn1p:
	in_features: 64
	out_features: 64
	num_layers: 2
	lamb: 5
	num_epochs: None
	num_batches: 10000
	batch_size: 1000
	xent_weights: [0.15, 0.8, 0.05]
	learning_rate: 0.5
	weight_decay: 0.01
	learn_decay: 0.75
	ablation_version: sgcn1p
	activation_fn: <built-in method tanh of type object at 0x7ff81bcfaee0>
	val_interval: 5
	early_stopping_patience: 50
	loss_version: theirs
sse:
	embedding_size_true: 128
	embedding_size_used: 64
